eudract_number,arms,controlled,crossover,double_blind,open,parallel_group,randomised,single_blind
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004094-25,string,Yes,No,No,Yes,Yes,Yes,No
2005-004944-30,1,No,No,No,Yes,No,No,No
2005-004944-30,1,No,No,No,Yes,No,No,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005077-29,2+,Yes,No,Yes,No,Yes,Yes,No
2005-005217-38,Yes,Yes,No,No,Yes,Yes,Yes,No
2005-005217-38,Yes,Yes,No,No,Yes,Yes,Yes,No
2005-005218-19,Yes,Yes,No,No,Yes,No,Yes,No
2005-005218-19,Yes,Yes,No,No,Yes,No,Yes,No
2005-005377-29,Yes,Yes,No,No,Yes,Yes,Yes,No
2005-005377-29,Yes,Yes,No,No,Yes,Yes,Yes,No
2005-005377-29,Yes,Yes,No,No,Yes,Yes,Yes,No
2006-000218-19,null,No,No,No,No,No,No,No
2006-000284-28,string,Yes,Yes,Yes,No,No,Yes,No
2006-000720-13,2+,Yes,No,Yes,No,Yes,Yes,No
2006-000720-13,2+,Yes,No,Yes,No,Yes,Yes,No
2006-000720-13,2+,Yes,No,Yes,No,Yes,Yes,No
2006-000720-13,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001228-37,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2006-001228-37,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2006-001228-37,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2006-001228-37,Yes,Yes,Yes,Yes,No,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001671-38,string,Yes,No,No,Yes,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-001865-41,2+,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-002072-18,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-003933-33,string,Yes,No,No,Yes,No,No,No
2006-004532-73,Yes,No,No,No,Yes,No,No,No
2006-004633-15,Yes,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-004756-20,,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005145-11,string,Yes,No,Yes,No,Yes,Yes,No
2006-005751-16,string,Yes,No,No,Yes,Yes,Yes,No
2006-005751-16,string,Yes,No,No,Yes,Yes,Yes,No
2006-005751-16,string,Yes,No,No,Yes,Yes,Yes,No
2006-005766-39,string,Yes,No,Yes,No,Yes,Yes,No
2006-005766-39,string,Yes,No,Yes,No,Yes,Yes,No
2006-005766-39,string,Yes,No,Yes,No,Yes,Yes,No
2006-005766-39,string,Yes,No,Yes,No,Yes,Yes,No
2006-005766-39,string,Yes,No,Yes,No,Yes,Yes,No
2006-005834-19,Yes,Yes,No,No,Yes,Yes,Yes,No
2006-005970-26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2006-006188-22,2+,Yes,No,No,Yes,Yes,Yes,No
2006-006188-22,2+,Yes,No,No,Yes,Yes,Yes,No
2006-006188-22,2+,Yes,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006370-25,string,No,No,No,Yes,Yes,Yes,No
2006-006404-11,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006538-16,1,No,No,No,Yes,No,No,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006852-37,2+,Yes,No,Yes,No,Yes,Yes,No
2006-006913-34,No,No,No,No,No,No,No,No
2006-006913-34,No,No,No,No,No,No,No,No
2006-006913-34,No,No,No,No,No,No,No,No
2006-006913-34,No,No,No,No,No,No,No,No
2006-006913-34,No,No,No,No,No,No,No,No
2006-007021-32,string,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000180-13,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000281-21,No,No,No,No,Yes,No,No,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-000323-17,2+,Yes,No,No,Yes,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001283-73,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001451-19,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001452-39,2+,Yes,No,Yes,No,Yes,Yes,No
2007-001478-10,2+,Yes,No,No,Yes,Yes,Yes,No
2007-001478-10,2+,Yes,No,No,Yes,Yes,Yes,No
2007-001478-10,2+,Yes,No,No,Yes,Yes,Yes,No
2007-001478-10,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003099-20,Yes,No,No,No,Yes,No,No,No
2007-003099-20,Yes,No,No,No,Yes,No,No,No
2007-003099-20,Yes,No,No,No,Yes,No,No,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003227-20,string,Yes,No,Yes,No,No,Yes,No
2007-003578-24,Yes,Yes,No,No,Yes,Yes,Yes,No
2007-003710-34,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-003793-26,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004126-24,,Yes,No,Yes,No,Yes,Yes,No
2007-004126-24,,Yes,No,Yes,No,Yes,Yes,No
2007-004126-24,,Yes,No,Yes,No,Yes,Yes,No
2007-004126-24,,Yes,No,Yes,No,Yes,Yes,No
2007-004126-24,,Yes,No,Yes,No,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004344-78,2+,Yes,No,No,Yes,Yes,Yes,No
2007-004391-39,No,No,No,No,Yes,No,No,No
2007-004391-39,No,No,No,No,Yes,No,No,No
2007-004391-39,No,No,No,No,Yes,No,No,No
2007-004517-34,2+,Yes,No,No,Yes,Yes,No,No
2007-004517-34,2+,Yes,No,No,Yes,Yes,No,No
2007-004517-34,2+,Yes,No,No,Yes,Yes,No,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004803-36,2+,Yes,No,Yes,No,Yes,Yes,No
2007-004875-21,No,No,No,No,No,No,No,No
2007-004875-21,No,No,No,No,No,No,No,No
2007-004875-21,No,No,No,No,No,No,No,No
2007-004875-21,No,No,No,No,No,No,No,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005017-19,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005129-31,2+,Yes,No,No,Yes,Yes,Yes,No
2007-005352-17,2+,Yes,No,Yes,No,Yes,Yes,No
2007-005365-35,2+,Yes,No,No,No,Yes,Yes,Yes
2007-005365-35,2+,Yes,No,No,No,Yes,Yes,Yes
2007-005365-35,2+,Yes,No,No,No,Yes,Yes,Yes
2007-005365-35,2+,Yes,No,No,No,Yes,Yes,Yes
2007-005365-35,2+,Yes,No,No,No,Yes,Yes,Yes
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005376-13,null,Yes,No,No,Yes,Yes,Yes,No
2007-005684-10,string,Yes,No,No,Yes,Yes,Yes,No
2007-005684-10,string,Yes,No,No,Yes,Yes,Yes,No
2007-005684-10,string,Yes,No,No,Yes,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006195-11,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006263-68,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006263-68,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006263-68,2+,Yes,No,Yes,No,Yes,Yes,No
2007-006516-31,string,Yes,No,No,Yes,Yes,Yes,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-006611-23,string,No,No,No,No,No,No,No
2007-007847-28,2+,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000077-38,string,Yes,No,No,Yes,Yes,Yes,No
2008-000107-28,string,No,No,No,No,No,No,No
2008-000107-28,string,No,No,No,No,No,No,No
2008-000107-28,string,No,No,No,No,No,No,No
2008-000107-28,string,No,No,No,No,No,No,No
2008-000498-40,2+,Yes,No,Yes,No,Yes,Yes,No
