dicom_uid,rows,columns,series_desc,modality
1.2.840.252987.643784385.4113,512,10687.803828684684,HEAD_TRAUMA_CT,CT
1.2.840.252987.643784385.4113,512,,HEAD_TRAUMA_CT,CT
1.2.840.252987.643784385.4113,,,,
1.2.840.259079.526288327.8029,512,512,SINUS_CORONAL,CT
1.2.840.259079.526288327.8029,512,512,SINUS_COROANL,CT
1.2.840.259079.526288327.8029,512,512,SINUS_CORONAL,CT
1.2.840.259079.526288327.8029,512,512,SINUS_CORONAL,CT
1.2.840.259079.526288327.8029,512,512,SINUS_CORONAL,CT
1.2.840.259780.525690661.4494,512,512,ABDOMEN_W_CON,CT
1.2.840.259780.525690661.4494,512,512,ABDOMEN_W_CON,CT
1.2.840.259780.525690661.4494,,,,
1.2.840.259780.525690661.4494,,,,
1.2.840.259780.525690661.4494,512,512,ABDOMEN_W_CON,CT
1.2.840.263567.194709869.4044,256,256,ANKE_STIR_COR,MR
1.2.840.263567.194709869.4044,256,256,ANKE_STIR_COR,MR
1.2.840.263567.194709869.4044,256,256,ANKE_STIR_COR,MR
1.2.840.263567.194709869.4044,256,256,ANKE_STIR_COR,MR
1.2.840.263567.194709869.4044,,256,ANKE_STIR_COR,MR
1.2.840.265305.285769121.8396,2048,2048,PELVIS_AP,XR
1.2.840.265305.285769121.8396,2048,2048,PELVIS_AP,XR
1.2.840.265305.285769121.8396,2048,2048,PELVIS_AP,XR
1.2.840.265305.285769121.8396,2048,2048,PELVIS_AP,XR
1.2.840.265305.285769121.8396,2048,2048,PELVIS_AP,XR
1.2.840.285501.600086396.5032,512,512,ABDOMEN_W_CON,CT
1.2.840.285501.600086396.5032,512,512,ABDOMEN_W_CON,CT
1.2.840.285501.600086396.5032,512,512,ABDOMEN_W_CON,CT
1.2.840.285501.600086396.5032,512,512,,wmrsakagqbpkegqxdvkw
1.2.840.285501.600086396.5032,512,512,ABDOMEN_W_CON,CT
1.2.840.296359.613449492.735,512,512,SINUS_CORONAL,CT
1.2.840.296359.613449492.735,512,512,SINUS_CORONAL,CT
1.2.840.296359.613449492.735,512,512,SINUS_CORONAL,CT
1.2.840.296359.613449492.735,512,512,SINUS_CORONAL,CT
1.2.840.296359.613449492.735,512,28283.924801241887,SINUS_CORONAL,CT
1.2.840.308250.334913676.8924,2048,2048,HAND_AP,XR
1.2.840.308250.334913676.8924,2048,2048,HAND_AP,XR
1.2.840.308250.334913676.8924,2048,149491.95232292265,HAND_AP,XR
1.2.840.308250.334913676.8924,,,,
1.2.840.308250.334913676.8924,2048,2048,HAND_AP,XR
1.2.840.308778.21802448.6632,256,256,BRAIN_T1_AX,MR
1.2.840.308778.21802448.6632,256,256,BRAIN_T1_AX,MR
1.2.840.308778.21802448.6632,256,256,BRAIN_T1_AX,MR
1.2.840.308778.21802448.6632,256,256,wlmriiptdbgucxmrkrpe,MR
1.2.840.308778.21802448.6632,256,256,BRAIN_T1_AX,MR
1.2.840.316125.80920302.6219,1024,1024,RENAL_ULTRASOUND,US
1.2.840.316125.80920302.6219,1024,1024,RENAL_ULTRASOUND,US
1.2.840.316125.80920302.6219,1024,1024,RENAL_ULTRASOUND,llgpgoacyjppsiynmdrj
1.2.840.316125.80920302.6219,1024,1024,RENAL_ULTRASOUND,US
1.2.840.316125.80920302.6219,,1024,RENAL_ULTRASOUND,US
1.2.840.323193.717904947.1921,2048,2048,ABDOMEN_KUB,RX
1.2.840.323193.717904947.1921,113534.22744952052,2048,ABDOMEN_KUB,XR
1.2.840.323193.717904947.1921,2048,56660.96940552045,ABDOMEN_KUB,XR
1.2.840.323193.717904947.1921,2048,2048,ABDOMEN_KUB,XR
1.2.840.323193.717904947.1921,2048,2048,ABDOMEN_KUB,XR
1.2.840.330688.55457559.7081,13842.302859695352,256,KNEE_PD_FSE,MR
1.2.840.330688.55457559.7081,256,256,KNEE_PD_FSE,swqfgkxdvmwuclxaggar
1.2.840.330688.55457559.7081,15464.777017254144,256,KNEE_PD_FSE,lvbuhbytkdblglzuypap
1.2.840.330688.55457559.7081,256,3680.3712269623056,KNiE_PD_FSE,MR
1.2.840.330688.55457559.7081,256,256,KNEE_PD_FSE,MR
1.2.840.338734.903385296.7315,1024,1024,THYROID_US,US
1.2.840.338734.903385296.7315,,1024,THYROID_US,US
1.2.840.338734.903385296.7315,1024,1024,THYROID_US,US
1.2.840.338734.903385296.7315,1024,1024,THYROID_US,US
1.2.840.338734.903385296.7315,1024,97985.53176829247,THYROID_US,US
1.2.840.355567.245657211.8846,1024,68541.29747891182,ABDOMEN_ULTRASOUND,US
1.2.840.355567.245657211.8846,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.355567.245657211.8846,,1024,ABDOMEN_ULTRASOUND,US
1.2.840.355567.245657211.8846,1024,1024,ABDOMEN_ULTRAkOUND,US
1.2.840.355567.245657211.8846,1024,23681.350113150897,ABDOMEN_ULTRASOUND,S
1.2.840.363915.238309196.6267,256,256,HIP_AX_T1,MR
1.2.840.363915.238309196.6267,256,256,HIP_AX_T1,MR
1.2.840.363915.238309196.6267,,,,
1.2.840.363915.238309196.6267,256,256,HIP_AX_T1,MR
1.2.840.363915.238309196.6267,256,256,HIPA_X_T1,MR
1.2.840.36973.477787070.270,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.36973.477787070.270,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.36973.477787070.270,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.36973.477787070.270,1024,1024,,US
1.2.840.36973.477787070.270,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.382511.108756150.8848,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.382511.108756150.8848,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.382511.108756150.8848,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.382511.108756150.8848,512,512,CHEST_PE_PROTCOOL,CT
1.2.840.382511.108756150.8848,,,,
1.2.840.395678.75007578.8875,1024,1024,RENAL_ULTRASOUND,US
1.2.840.395678.75007578.8875,1024,1024,RENAL_ULTRASOUND,US
1.2.840.395678.75007578.8875,1024,1024,RENAL_ULTRASONUD,US
1.2.840.395678.75007578.8875,,,,
1.2.840.395678.75007578.8875,1024,1024,RENAL_ULfRASOUND,US
1.2.840.398740.8952075.2077,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.398740.8952075.2077,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.398740.8952075.2077,1024,1024,gdusqacishncmysqebow,US
1.2.840.398740.8952075.2077,1024,101226.80468931091,PELVS_ULTRASOUND,US
1.2.840.398740.8952075.2077,1024,1024,PELVIS_ULTRASOUND,US
1.2.840.405906.15422795.9654,2048,2048,ABDOMEN_KUB,XR
1.2.840.405906.15422795.9654,2048,2048,ABDOMEN_KUB,XR
1.2.840.405906.15422795.9654,2048,2048,ABDOMEN_KUB,XR
1.2.840.405906.15422795.9654,2048,2048,ABDOMEN_KUB,XR
1.2.840.405906.15422795.9654,2048,2048,ABDOMEN_KUB,XR
1.2.840.405966.537223916.5746,2048,2048,PELVIS_AP,XR
1.2.840.405966.537223916.5746,,,,
1.2.840.405966.537223916.5746,2048,2048,PELVIS_AP,XR
1.2.840.405966.537223916.5746,,180740.5842212478,PELVIS_AP,kitslsmwovrcxdtnzrim
1.2.840.405966.537223916.5746,2048,2048,PELVIS_AP,XR
1.2.840.414409.93803138.7993,2048,2048,FOOT_LATERAL,XR
1.2.840.414409.93803138.7993,55790.51671677458,2048,FOOT_LATERAL,aR
1.2.840.414409.93803138.7993,139031.97836965055,2048,FOOT_LATERAL,XR
1.2.840.414409.93803138.7993,,2048,,XR
1.2.840.414409.93803138.7993,2048,2048,FOOT_LATERAL,XR
1.2.840.431243.214684544.9328,2048,2048,HAND_AP,XR
1.2.840.431243.214684544.9328,2048,2048,HAND_AP,XR
1.2.840.431243.214684544.9328,2048,,HAND_AP,XR
1.2.840.431243.214684544.9328,2048,2048,HAND_AP,
1.2.840.431243.214684544.9328,,2048,HAND_PA,XR
1.2.840.443179.663910032.3378,512,512,CHEST_PE_PROTOCOL,TC
1.2.840.443179.663910032.3378,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.443179.663910032.3378,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.443179.663910032.3378,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.443179.663910032.3378,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.45574.373260327.8601,2048,2048,,XR
1.2.840.45574.373260327.8601,2048,2048,FOOT_LATERAL,XR
1.2.840.45574.373260327.8601,2048,2048,FOOT_LATERAL,XR
1.2.840.45574.373260327.8601,,2048,FOOT_LATERAL,XR
1.2.840.45574.373260327.8601,2048,2048,FOOT_LATERAL,R
1.2.840.456920.743226055.4397,,,,
1.2.840.456920.743226055.4397,2048,2048,HAND_AP,XR
1.2.840.456920.743226055.4397,2048,2048,HAND_AP,XR
1.2.840.456920.743226055.4397,2048,2048,HAND_AP,XR
1.2.840.456920.743226055.4397,2048,2048,HAND_AP,XR
1.2.840.510501.316785029.8219,72016.40956826007,2048,PELVIS_AP,XR
1.2.840.510501.316785029.8219,2048,2048,PELVIS_AP,XR
1.2.840.510501.316785029.8219,2048,,PELVIS_AP,XR
1.2.840.510501.316785029.8219,2048,2048,PELVIS_AP,XR
1.2.840.510501.316785029.8219,186400.40763571934,2048,PELVIS_AP,
1.2.840.522023.132630584.5525,256,256,ANKE_STIR_COR,MR
1.2.840.522023.132630584.5525,256,256,ANKE_STIR_COR,MR
1.2.840.522023.132630584.5525,256,256,ANKE_STIR_COR,MR
1.2.840.522023.132630584.5525,256,256,ANKE_STIR_COR,vgyqhaisiufykewhkaio
1.2.840.522023.132630584.5525,256,256,ANKE_STIR_COR,MR
1.2.840.526641.484716747.4828,512,512,HEAD_TRAUMA_CT,CT
1.2.840.526641.484716747.4828,512,512,HEAD_TRAUMA_CT,CT
1.2.840.526641.484716747.4828,512,512,HEAD_TRAUMA_CT,
1.2.840.526641.484716747.4828,512,512,HEAD_TRAUMA_CT,CT
1.2.840.526641.484716747.4828,512,512,HEAD_TRAUMA_CT,CT
1.2.840.542365.134619378.197,1024,1024,CAROTID_DOPPLER,US
1.2.840.542365.134619378.197,1024,1024,CAROTID_DOPPLER,US
1.2.840.542365.134619378.197,1024,1024,CAROTID_DOPPLER,US
1.2.840.542365.134619378.197,1024,,tAROTID_DOPPLER,US
1.2.840.542365.134619378.197,1024,1024,CAROTID_DOPPLER,US
1.2.840.54763.260854155.1719,256,256,ANKE_STIR_COR,MR
1.2.840.54763.260854155.1719,256,256,ANKE_STIR_COR,MR
1.2.840.54763.260854155.1719,256,23978.681524055824,ANKE_STIR_COR,MR
1.2.840.54763.260854155.1719,256,256,ANKE_STIR_COR,MR
1.2.840.54763.260854155.1719,256,256,,MR
1.2.840.562220.702442080.7892,,512,CHEST_PE_PROTOCOL,CT
1.2.840.562220.702442080.7892,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.562220.702442080.7892,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.562220.702442080.7892,512,,CHESTvPE_PROTOCOL,CT
1.2.840.562220.702442080.7892,512,512,CHEST_PE_PROTOCOL,CT
1.2.840.576412.340159750.3886,1024,1024,THYROID_US,U
1.2.840.576412.340159750.3886,1024,1024,,US
1.2.840.576412.340159750.3886,1024,1024,THYROID_US,US
1.2.840.576412.340159750.3886,1024,1024,THYROID_US,US
1.2.840.576412.340159750.3886,1024,1024,THYROID_US,US
1.2.840.5784.410578941.4436,256,256,,MR
1.2.840.5784.410578941.4436,256,256,HIP_AX_T1,MR
1.2.840.5784.410578941.4436,256,256,HIP_AX_T1,MR
1.2.840.5784.410578941.4436,256,256,HIP_AX_T1,yzthxndnbuvckxsjeiyk
1.2.840.5784.410578941.4436,256,256,HIP_AX_T1,MR
1.2.840.588030.38009097.1579,2048,2048,CHEST_PA,XR
1.2.840.588030.38009097.1579,2048,,CHEST_PA,XR
1.2.840.588030.38009097.1579,2048,,CHEST_PA,XR
1.2.840.588030.38009097.1579,2048,2048,,XR
1.2.840.588030.38009097.1579,2048,2048,CHEST_PA,XR
1.2.840.588402.765606324.5613,512,512,SINUS_CORONAL,CT
1.2.840.588402.765606324.5613,512,512,SINUS_CORONAL,CT
1.2.840.588402.765606324.5613,512,512,SINUS_CORONAL,CT
1.2.840.588402.765606324.5613,512,512,SINUS_CORONAL,CT
1.2.840.588402.765606324.5613,512,21474.83212215901,SINUS_CORONAL,CT
1.2.840.588838.288526710.174,512,512,BRAIN_WO_CON,CT
1.2.840.588838.288526710.174,512,512,BRAIN_WO_CON,C
1.2.840.588838.288526710.174,512,512,BRAIN_WO_CON,CT
1.2.840.588838.288526710.174,512,512,BRAIN_WO_CON,vorsfgftvslsebewtjbd
1.2.840.588838.288526710.174,512,512,BRAIN_Wb_CON,CT
1.2.840.606102.298240488.7581,512,512,ABDOMEN_W_CON,
1.2.840.606102.298240488.7581,512,512,ABDOMEN_W_CON,CT
1.2.840.606102.298240488.7581,512,512,ABDOMEN_W_CON,T
1.2.840.606102.298240488.7581,512,512,ABDOMEN_W_CON,CT
1.2.840.606102.298240488.7581,512,512,ABDOMEN_W_CON,CT
1.2.840.613336.401981965.5857,2048,2048,ABDOMEN_KUB,XR
1.2.840.613336.401981965.5857,2048,2048,ABDOMEN_KUB,XR
1.2.840.613336.401981965.5857,,2048,ABDOMEN_KUB,XR
1.2.840.613336.401981965.5857,2048,2048,ABDOMEN_KUB,XR
1.2.840.613336.401981965.5857,2048,2048,ABDOMEN_KUB,XR
1.2.840.627119.475616629.3815,1024,46020.28620000395,THYROID_US,US
1.2.840.627119.475616629.3815,1024,1024,THYROID_US,US
1.2.840.627119.475616629.3815,1024,1024,THYROID_US,US
1.2.840.627119.475616629.3815,1024,1024,THYROD_US,US
1.2.840.627119.475616629.3815,1024,1024,THYROID_US,US
1.2.840.627749.177387910.9866,2048,2048,HAND_AP,XR
1.2.840.627749.177387910.9866,,,,
1.2.840.627749.177387910.9866,2048,2048,HAND_AP,XR
1.2.840.627749.177387910.9866,2048,2048,HAND_AP,Xs
1.2.840.627749.177387910.9866,2048,2048,HAND_AP,XR
1.2.840.648553.414391855.7385,512,512,SnNUS_CORONAL,CT
1.2.840.648553.414391855.7385,512,512,SINUS_CORONAL,CT
1.2.840.648553.414391855.7385,512,512,SINUS_CORONAL,CT
1.2.840.648553.414391855.7385,512,512,SINUS_CORONAL,
1.2.840.648553.414391855.7385,512,512,SINUS_CORONAL,CT
1.2.840.657895.379583118.771,1024,1024,ABDOMEN_ULTRASOUND,
1.2.840.657895.379583118.771,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.657895.379583118.771,1024,1024,,US
1.2.840.657895.379583118.771,1024,1024,ABDOMEN_ULTRASOUND,yqkaiilomvpspydmcmdt
1.2.840.657895.379583118.771,,,,
1.2.840.69067.463443946.1127,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.69067.463443946.1127,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.69067.463443946.1127,1024,1024,ABDOMEN_ULTRASOUND,S
1.2.840.69067.463443946.1127,1024,1024,ABDOMEN_ULRASOUND,S
1.2.840.69067.463443946.1127,1024,1024,ABDOMEN_ULTRASOUND,
1.2.840.697532.482929485.1443,256,256,BRAIN_T1_AX,MR
1.2.840.697532.482929485.1443,256,256,BRAIN_T1_AX,MR
1.2.840.697532.482929485.1443,256,256,jftyegcfjjeutqdgmbvi,MR
1.2.840.697532.482929485.1443,,256,BRAIN_T1_AX,MR
1.2.840.697532.482929485.1443,256,256,BRAIN_T1_AX,MR
1.2.840.703113.812345132.2836,512,512,BRAIN_WO_CON,CT
1.2.840.703113.812345132.2836,512,512,BRAIN_WO_CON,CT
1.2.840.703113.812345132.2836,512,512,BRAIN_WO_CON,CT
1.2.840.703113.812345132.2836,512,512,BRAIN_WO_CON,CT
1.2.840.703113.812345132.2836,512,512,BRAIN_WO_CON,CT
1.2.840.709606.122312819.7185,1024,1024,RENAL_ULTRASOUND,US
1.2.840.709606.122312819.7185,1024,1024,RENAL_ULTRASOUND,US
1.2.840.709606.122312819.7185,1024,1024,RENAL_ULTRASOUND,US
1.2.840.709606.122312819.7185,1024,1024,RENAL_ULTRASOUND,US
1.2.840.709606.122312819.7185,1024,1024,RENAL_ULTRASOUND,US
1.2.840.717539.706621359.1289,2048,2048,CHEST_PA,XR
1.2.840.717539.706621359.1289,2048,2048,CHEST_PA,XR
1.2.840.717539.706621359.1289,2048,2048,CHEST_PA,XR
1.2.840.717539.706621359.1289,2048,2048,CHEST_PA,XR
1.2.840.717539.706621359.1289,,,,
1.2.840.719171.1876536.7185,256,256,HIP_AX_T1,
1.2.840.719171.1876536.7185,256,256,HIP_AX_T1,MR
1.2.840.719171.1876536.7185,256,256,HIP_AX_T1,MR
1.2.840.719171.1876536.7185,256,256,,rjaiptynhqzcqrgyrpnn
1.2.840.719171.1876536.7185,,,,
1.2.840.740439.136605933.5326,512,512,lcuyjecaptrrbcufsrpb,CT
1.2.840.740439.136605933.5326,512,512,BRAIN_WO_CON,CT
1.2.840.740439.136605933.5326,48102.269628760114,512,BRAIN_WO_CON,CT
1.2.840.740439.136605933.5326,512,512,BRAIN_WO_CON,TC
1.2.840.740439.136605933.5326,512,512,BRAIN_WO_CON,CT
1.2.840.755811.164695892.2110,256,256,ANKE_STIR_COR,MR
1.2.840.755811.164695892.2110,256,256,ANKE_STIR_COR,MR
1.2.840.755811.164695892.2110,256,9513.226057361697,ANKE_STlR_COR,MR
1.2.840.755811.164695892.2110,256,,ANKE_STIR_COR,MR
1.2.840.755811.164695892.2110,256,256,ANKE_STIR_COR,MR
1.2.840.780811.339011562.4986,79719.370342124,1024,RENAL_ULTRASOUND,US
1.2.840.780811.339011562.4986,95427.83446719659,1024,RENAL_ULTRASOUND,US
1.2.840.780811.339011562.4986,1024,1024,RENAL_ULTRASOUND,US
1.2.840.780811.339011562.4986,1024,1024,RENAL_ULTRASOUND,US
1.2.840.780811.339011562.4986,1024,1024,RENL_ULTRASOUND,U
1.2.840.792168.328831112.1864,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.792168.328831112.1864,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.792168.328831112.1864,,,,
1.2.840.792168.328831112.1864,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.792168.328831112.1864,1024,1024,ABDOMEN_ULTRASOUND,US
1.2.840.79850.650975832.989,2048,2048,ABDOMEN_KUB,XR
1.2.840.79850.650975832.989,2048,2048,ABDOMEN_KUB,XR
1.2.840.79850.650975832.989,2048,,ABDOMEN_KUB,XR
1.2.840.79850.650975832.989,2048,2048,ABDOMEN_KUB,XR
1.2.840.79850.650975832.989,2048,2048,ABDOMEN_KUB,XR
1.2.840.799753.138430685.46,2048,2048,jnifkbjvviazkefixtsm,aiqijtlupblutxjusbax
1.2.840.799753.138430685.46,2048,2048,ABDOMEN_KUB,XR
1.2.840.799753.138430685.46,,2048,ABDOMEN_KUB,XR
1.2.840.799753.138430685.46,2048,2048,,XR
1.2.840.799753.138430685.46,2048,2048,,XR
1.2.840.80864.202149597.3231,256,256,ANKE_STIR_COR,MR
1.2.840.80864.202149597.3231,256,256,ANKE_STIR_COR,MR
1.2.840.80864.202149597.3231,256,256,ANKE_STIR_COR,MR
1.2.840.80864.202149597.3231,256,256,ANKE_STIR_COR,lsyqhqcnrflyceygohwk
1.2.840.80864.202149597.3231,256,256,ANKE_STIR_COR,MR
1.2.840.810343.552083521.7302,2048,2048,CHEST_PA,XR
1.2.840.810343.552083521.7302,2048,2048,CHEST_PA,XR
