eudract_number,randomised,crossover,parallel_group,open,single_blind,double_blind,controlled,arms,active_comparator,placebo
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000039-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000046-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000046-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000046-21,Yes,,,,,,Yes,,,
2004-000046-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000046-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000047-18,No,No,No,Yes,No,No,No,,No,No
2004-000050-23,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000050-23,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000053-34,Yes,No,Yes,No,No,Yes,Yes,,No,No
2004-000060-27,Yes,No,,Yes,No,No,,,Yes,No
2004-000063-10,Yes,No,No,Yes,No,No,Yes,,No,No
2004-000073-64,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000074-31,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000074-31,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000081-13,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000083-27,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000083-27,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000083-27,Yes,No,Yes,No,No,Yes,Yes,2+,No,Yes
2004-000083-27,Yes,,Yes,,,Yes,Yes,,,Yes
2004-000083-27,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000086-35,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000086-35,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000087-27,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000087-27,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000088-92,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000088-92,Yes,,,,,,Yes,,,
2004-000088-92,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000089-11,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000089-11,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000091-14,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000091-14,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000091-14,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000091-14,Yes,,,,,,Yes,,,
2004-000091-14,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000100-40,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000100-40,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000100-40,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000100-40,Yes,,,,,,Yes,,,
2004-000100-40,Yes,,,,,Yes,Yes,,,Yes
2004-000106-41,No,No,No,No,No,No,No,,No,No
2004-000107-18,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000108-42,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000113-18,Yes,No,Yes,No,No,Yes,Yes,,,Yes
2004-000113-18,Yes,No,Yes,No,No,Yes,Yes,,,Yes
2004-000113-18,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000114-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000114-40,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000114-40,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000119-24,Yes,,,,,,,,,
2004-000119-24,Yes,,,,,,,,,
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000120-32,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,No,No,No,Yes,Yes,1,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000134-37,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000137-11,Yes,,,,,,Yes,,,
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,2+,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000137-11,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,,,,,,Yes,,,
2004-000138-35,Yes,,Yes,,,Yes,Yes,,,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000138-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000139-27,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000140-25,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000142-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000142-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000142-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000142-20,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000142-20,Yes,,,,,,Yes,,,
2004-000145-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000145-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000145-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000148-26,No,No,No,No,No,No,No,,No,No
2004-000148-26,No,No,No,No,No,No,No,,No,No
2004-000148-26,No,No,No,No,No,No,No,,No,No
2004-000148-26,Yes,No,Yes,No,No,Yes,No,,Yes,Yes
2004-000148-26,No,No,No,No,No,No,No,,No,No
2004-000148-26,No,No,No,No,No,No,No,,No,No
2004-000148-26,No,No,No,Yes,No,No,Yes,,No,No
2004-000149-39,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2004-000152-16,No,No,No,Yes,No,No,No,,No,No
2004-000152-16,No,No,No,No,No,No,No,,No,No
2004-000152-16,No,No,No,Yes,No,No,No,,No,No
2004-000152-16,No,No,No,Yes,No,No,No,,No,No
2004-000152-16,No,No,No,No,No,No,No,,No,No
2004-000152-16,No,No,No,Yes,No,No,No,,No,No
2004-000152-16,No,No,No,Yes,No,No,No,,No,No
2004-000156-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000156-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000156-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000160-28,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000166-13,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2004-000166-13,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000166-13,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2004-000166-13,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000166-13,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000166-13,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000167-95,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000167-95,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000167-95,Yes,,,,,,Yes,,,
2004-000168-28,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000168-28,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2004-000168-28,Yes,No,Yes,Yes,No,No,Yes,2+,Yes,No
2004-000172-13,No,No,No,No,No,No,No,,No,No
2004-000172-13,No,No,No,No,No,No,No,,No,No
2004-000172-13,No,No,No,No,No,No,No,,No,No
2004-000172-13,No,No,No,No,No,No,No,,No,No
2004-000172-13,No,No,No,No,No,No,No,,No,No
2004-000172-13,Yes,No,No,Yes,No,No,No,1,,
2004-000173-65,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000173-65,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000174-31,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000174-31,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000185-12,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000185-12,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000185-12,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000185-12,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000185-12,Yes,,,,,,Yes,,,
2004-000186-35,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000195-13,Yes,No,No,Yes,No,No,Yes,,Yes,
2004-000199-14,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000199-14,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000199-14,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000199-14,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000199-14,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000200-40,No,No,No,Yes,No,Yes,Yes,,No,Yes
2004-000200-40,No,No,No,Yes,No,Yes,Yes,,No,Yes
2004-000200-40,No,No,No,Yes,No,Yes,Yes,,No,Yes
2004-000200-40,No,No,Yes,,,,Yes,,,
2004-000200-40,No,No,No,Yes,No,Yes,Yes,,No,Yes
2004-000202-49,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000202-49,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000202-49,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000202-49,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000211-26,Yes,Yes,No,No,No,Yes,Yes,,Yes,Yes
2004-000213-19,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,No
2004-000213-19,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000219-24,No,No,No,No,No,No,No,,,
2004-000219-24,No,No,No,No,No,No,No,,No,No
2004-000219-24,No,No,No,No,No,No,No,,No,No
2004-000219-24,No,No,No,No,No,No,No,,No,No
2004-000219-24,No,No,No,No,No,No,No,,No,No
2004-000231-29,No,,,,,,No,,No,No
2004-000231-29,No,,,,,,No,,,
2004-000232-91,Yes,No,Yes,Yes,No,No,Yes,,No,No
2004-000232-91,Yes,No,,Yes,No,No,,,,
2004-000232-91,Yes,,,,,,Yes,,,
2004-000235-28,Yes,Yes,,,,Yes,Yes,,,Yes
2004-000238-36,Yes,No,No,Yes,No,No,Yes,,No,No
2004-000238-36,Yes,No,No,Yes,No,No,Yes,,No,No
2004-000240-25,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000240-25,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000240-25,Yes,,,,,,Yes,,,
2004-000240-25,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000242-20,Yes,,Yes,Yes,Yes,,Yes,,,
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000242-20,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000243-23,No,No,No,Yes,No,No,Yes,,No,No
2004-000243-23,No,No,No,Yes,No,No,No,,No,No
2004-000244-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000244-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000244-24,Yes,No,Yes,,,Yes,Yes,,,
2004-000244-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000244-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000245-38,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000248-25,Yes,,,,,Yes,Yes,,Yes,Yes
2004-000248-25,Yes,,,,,Yes,Yes,,Yes,Yes
2004-000248-25,Yes,,Yes,,,Yes,Yes,,Yes,Yes
2004-000254-23,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000254-23,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000254-23,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000254-23,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000280-99,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000280-99,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000282-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000282-35,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000282-35,Yes,No,Yes,No,No,Yes,Yes,2+,No,No
2004-000283-27,No,,,,,,No,,No,No
2004-000288-89,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000290-58,Yes,,Yes,,,Yes,Yes,,No,Yes
2004-000299-15,Yes,No,No,,No,Yes,Yes,,No,No
2004-000299-15,Yes,No,Yes,No,No,Yes,No,,No,No
2004-000304-41,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000304-41,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000304-41,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000304-41,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000304-41,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000304-41,Yes,,,,,,Yes,,,
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000305-21,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000306-46,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000306-46,Yes,No,Yes,No,No,Yes,Yes,,Yes,
2004-000306-46,Yes,,,,,,Yes,,,
2004-000311-26,Yes,No,Yes,No,No,Yes,Yes,,,
2004-000311-26,Yes,No,Yes,No,No,Yes,Yes,,,
2004-000311-26,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000311-26,Yes,,,,,,Yes,,,
2004-000311-26,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000312-93,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000312-93,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000312-93,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000312-93,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000312-93,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000313-19,Yes,No,Yes,No,No,Yes,Yes,,,
2004-000313-19,Yes,No,Yes,No,No,Yes,Yes,,,
2004-000315-26,No,No,No,No,No,No,No,,No,No
2004-000315-26,No,No,No,Yes,No,No,No,,No,No
2004-000315-26,No,No,No,No,No,No,No,,No,No
2004-000315-26,No,No,No,No,No,No,,,,
2004-000320-32,Yes,No,No,No,No,Yes,Yes,,Yes,No
2004-000320-32,Yes,No,No,No,No,Yes,Yes,,Yes,No
2004-000320-32,Yes,No,No,No,No,Yes,Yes,,Yes,No
2004-000320-32,Yes,No,No,No,No,Yes,Yes,,Yes,No
2004-000326-70,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000327-15,Yes,No,No,No,Yes,No,Yes,,Yes,Yes
2004-000327-15,Yes,No,Yes,No,Yes,No,Yes,,Yes,No
2004-000327-15,Yes,No,No,Yes,No,No,Yes,,Yes,No
2004-000327-15,Yes,No,No,No,Yes,No,Yes,,Yes,Yes
2004-000329-31,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000330-36,Yes,,,,,,No,,,
2004-000330-36,Yes,No,No,Yes,No,No,Yes,2+,Yes,No
2004-000333-10,Yes,Yes,No,No,No,Yes,Yes,,Yes,No
2004-000335-28,No,No,No,No,No,No,No,,No,No
2004-000335-28,No,No,No,No,No,No,No,,No,No
2004-000335-28,No,No,No,No,No,No,No,,,
2004-000335-28,No,No,No,No,No,No,No,,No,No
2004-000335-28,No,No,No,No,No,No,No,,No,No
2004-000336-81,No,No,No,No,No,No,No,,,No
2004-000337-12,No,,,Yes,,,Yes,,No,No
2004-000344-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000344-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000344-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000344-24,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000345-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000345-38,Yes,,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000345-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000345-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000345-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000346-21,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000346-21,Yes,,,,,Yes,Yes,,,Yes
2004-000346-21,Yes,,,,,Yes,Yes,,,Yes
2004-000347-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000347-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000347-14,Yes,,,,,,Yes,,,
2004-000347-14,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000348-25,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000349-40,Yes,,,,,,Yes,,,
2004-000350-24,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000350-24,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000352-16,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000353-38,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000353-38,Yes,No,Yes,No,No,Yes,Yes,1,No,Yes
2004-000353-38,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000353-38,Yes,No,Yes,No,No,Yes,Yes,1,No,Yes
2004-000353-38,Yes,No,Yes,No,No,Yes,Yes,1,No,Yes
2004-000354-22,No,No,No,Yes,No,No,Yes,,,
2004-000354-22,No,No,No,Yes,No,No,Yes,,,
2004-000354-22,No,No,No,Yes,No,No,Yes,,,
2004-000354-22,No,No,No,Yes,No,No,Yes,,,
2004-000354-22,No,No,No,Yes,No,No,Yes,,,
2004-000356-17,No,,,,,,No,,No,No
2004-000356-17,No,,,,,,No,,No,No
2004-000356-17,No,,,,,,No,,No,No
2004-000356-17,No,,,,,,No,,No,No
2004-000356-17,No,,,,,,No,,No,No
2004-000356-17,No,,,,,,No,,,
2004-000358-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000358-21,Yes,No,No,No,No,Yes,Yes,,No,Yes
2004-000359-41,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,No
2004-000359-41,Yes,No,Yes,Yes,No,Yes,Yes,,Yes,No
2004-000361-35,No,,,,,,No,,No,No
2004-000361-35,No,,,,,,No,,,
2004-000362-12,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000363-10,Yes,No,Yes,Yes,No,No,Yes,,Yes,No
2004-000365-35,No,,,Yes,,,No,,No,No
2004-000365-35,No,,,,,,No,,No,No
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000367-98,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000368-28,Yes,,,,,Yes,Yes,,,Yes
2004-000368-28,Yes,,,,,Yes,Yes,,,Yes
2004-000368-28,Yes,,Yes,,,Yes,Yes,,,Yes
2004-000368-28,Yes,,,,,Yes,Yes,,,Yes
2004-000368-28,Yes,,,,,Yes,Yes,,,Yes
2004-000368-28,Yes,,,,,Yes,Yes,,,Yes
2004-000368-28,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000369-37,Yes,,,,,,Yes,,,
2004-000369-37,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000369-37,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000369-37,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000370-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000370-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000370-31,Yes,,,,,,Yes,,,
2004-000370-31,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000371-34,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000371-34,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000371-34,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000371-34,Yes,,,,,,Yes,,,
2004-000371-34,Yes,No,Yes,No,No,Yes,Yes,,Yes,No
2004-000374-31,Yes,,,,,,Yes,,,
2004-000376-14,Yes,,,,,,Yes,,,
2004-000379-32,Yes,No,No,No,No,No,Yes,2+,No,Yes
2004-000379-32,Yes,,,,,,Yes,,,
2004-000379-32,Yes,No,No,No,No,No,Yes,,Yes,Yes
2004-000383-27,Yes,Yes,No,No,No,Yes,Yes,,No,Yes
2004-000384-10,No,No,No,Yes,No,No,Yes,,No,No
2004-000384-10,No,No,No,Yes,No,No,Yes,,No,No
2004-000390-59,Yes,,,,,,Yes,,,
2004-000390-59,Yes,No,No,Yes,No,Yes,Yes,,Yes,Yes
2004-000394-60,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000394-60,Yes,No,Yes,No,No,Yes,Yes,,No,Yes
2004-000397-31,Yes,No,No,Yes,No,No,Yes,,Yes,No
